Regions,Latitude_Regions,Longitude_Regions
ahafo region,6.916885199,-2.5350966
ashanti region,6.800331899,-1.5188142
bono east region,7.803523599,-1.0876492
bono region,7.676179099,-2.4735401
central region,5.724414799,-1.3761749
eastern region,6.446876999,-0.3770964
greater accra region,5.810153199,0.0995242
north east region,10.3959773,-0.5410794
northern region,9.660000499,-0.3943799
oti region,7.863387199,0.318598
savannah region,9.140065399,-1.7111234
upper west region,10.3669525,-2.0921426
volta region,6.534862399,0.4556055
western north region,6.227936699,-2.8234891
western region,5.426124099,-2.1286574
